accountType,tenure,branch,applicantName,gender,dob,occupation,fatherOrHusbandName,relation,village,post,block,district,state,pincode,phone,aadhar,depositAmount,introducerName,membershipNumber,introducerKnownSince,accountNumber,nomineeName,nomineeRelation,nomineeAge,managerName,lekhpalOrRokapal,formDate,accountOpenDate,signaturePath,verifierSignaturePath,profileImage
Savings,0,शिवडीह,User 1,Male,1990-07-28,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543210,364292849284,8000,Sunil,10,20,10500800,Nominee 1,Brother,38,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 2,Male,1991-06-01,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543211,802314170189,3000,Sunil,11,21,10500801,Nominee 2,Brother,37,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 3,Male,1989-11-05,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543212,603492517772,20000,Sunil,12,22,10500802,Nominee 3,Brother,32,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 4,Male,1992-03-19,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543213,759035667964,50000,Sunil,13,20,10500803,Nominee 4,Brother,33,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 5,Male,1988-09-08,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543214,141263459960,80000,Sunil,14,20,10500804,Nominee 5,Brother,29,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 6,Male,1993-10-21,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543215,982401330156,7000,Sunil,15,20,10500805,Nominee 6,Brother,27,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 7,Male,1994-08-14,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543216,225992823310,5000,Sunil,16,20,10500806,Nominee 7,Brother,36,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 8,Male,1987-04-25,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543217,127701140450,3000,Sunil,17,20,10500807,Nominee 8,Brother,35,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 9,Male,1995-01-30,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543218,799437356789,2000,Sunil,18,20,10500808,Nominee 9,Brother,30,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 10,Male,1986-06-11,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543219,311261147081,1000,Sunil,19,20,10500809,Nominee 10,Brother,34,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 11,Male,1990-07-28,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543210,364292849284,8000,Sunil,10,20,10500810,Nominee 1,Brother,38,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 12,Male,1991-06-01,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543211,802314170189,3000,Sunil,11,20,10500811,Nominee 2,Brother,37,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 13,Male,1989-11-05,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543212,603492517772,20000,Sunil,12,20,10500812,Nominee 3,Brother,32,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 14,Male,1992-03-19,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543213,759035667964,50000,Sunil,13,20,10500813,Nominee 4,Brother,33,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 15,Male,1988-09-08,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543214,141263459960,80000,Sunil,14,20,10500814,Nominee 5,Brother,29,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 16,Male,1993-10-21,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543215,982401330156,7000,Sunil,15,20,10500815,Nominee 6,Brother,27,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 17,Male,1994-08-14,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543216,225992823310,5000,Sunil,16,20,10500816,Nominee 7,Brother,36,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 18,Male,1987-04-25,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543217,127701140450,3000,Sunil,17,20,10500817,Nominee 8,Brother,35,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 19,Male,1995-01-30,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543218,799437356789,2000,Sunil,18,20,10500818,Nominee 9,Brother,30,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
Recurring,60,शिवडीह,User 20,Male,1986-06-11,IT,Gopal Prasad Dangi,Father,Shivadih,Sandh,Barkagona,Hazaribag,Jharkhand,825311,9876543219,311261147081,1000,Sunil,19,20,10500819,Nominee 10,Brother,34,Bhugeshwar Kumar,qwert,2025-07-12,2025-07-12,/uploads/signatures/signature-1752306570485.jpeg,/uploads/verifierSignatures/verifier-1752306570486.jpeg,/uploads/profileImage/profile-1752306682559.jpeg
